Income_Group,Income_Type,Population_Type,Description,Income_Measure,Value_Type,Value,Population
9,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,50000,39000
10,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,54000,39000
11,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,59000,38000
12,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,64000,35000
13,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,68000,31000
14,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,74000,29000
15,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,80000,28000
16,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,87000,25000
17,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,95000,23000
18,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,107000,22000
19,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,127000,20000
20,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,218000,16000
1,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,16000,34000
2,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,27000,30000
3,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,30000,14000
4,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,32000,19000
5,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,35000,32000
6,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,38000,44000
7,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,42000,44000
8,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,45000,46000
9,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,50000,49000
10,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,54000,49000
11,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,59000,51000
12,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,64000,49000
13,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,69000,53000
14,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,74000,52000
15,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,80000,47000
16,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,87000,48000
17,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,95000,51000
18,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,107000,42000
19,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,126000,38000
20,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,202000,24000
1,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,15000,32000
2,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,27000,28000
3,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,30000,13000
4,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,32000,19000
5,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,35000,26000
6,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,38000,34000
7,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,42000,38000
8,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,46000,37000
9,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,50000,38000
10,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,54000,44000
11,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,59000,42000
12,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,64000,42000
13,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,68000,41000
14,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,74000,45000
15,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,80000,40000
16,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,87000,42000
17,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,95000,42000
18,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,107000,43000
19,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,127000,41000
20,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,205000,36000
1,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,15000,47000
2,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,27000,32000
3,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,30000,13000
4,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,32000,13000
5,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,35000,19000
6,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,38000,21000
7,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,42000,24000
8,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,45000,27000
9,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,50000,34000
10,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,54000,33000
11,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,59000,33000
12,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,64000,38000
13,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,68000,35000
14,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,74000,37000
15,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,80000,38000
16,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,87000,35000
17,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,95000,36000
18,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,107000,39000
19,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,128000,39000
20,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,218000,49000
1,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,15000,92000
2,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,27000,69000
3,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,30000,30000
4,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,32000,40000
5,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,35000,57000
6,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,38000,71000
7,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,42000,76000
8,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,45000,79000
9,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,50000,85000
10,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,54000,89000
11,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,59000,87000
12,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,64000,89000
13,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,68000,90000
14,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,74000,92000
15,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,80000,89000
16,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,87000,89000
17,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,95000,91000
18,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,107000,92000
19,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,127000,89000
20,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,211000,84000
1,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,14000,18000
2,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,29000,41000
3,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,30000,76000
4,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,32000,67000
5,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,35000,54000
6,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,38000,40000
7,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,42000,37000
8,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,45000,34000
9,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,50000,30000
10,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,54000,28000
11,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,59000,29000
12,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,64000,23000
13,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,69000,25000
14,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,74000,20000
15,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,80000,23000
16,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,87000,24000
17,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,95000,19000
18,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,107000,21000
19,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,127000,22000
20,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,223000,27000
1,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,17000,5000
2,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,27000,9000
3,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,30000,5000
4,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,33000,6000
5,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,35000,10000
6,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,38000,13000
7,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,42000,11000
8,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,45000,9000
9,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,50000,7000
10,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,53000,4000
11,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
12,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
13,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
14,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
15,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
16,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
17,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
18,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
19,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
20,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
1,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,14000,47000
2,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,28000,53000
3,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,30000,45000
4,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,32000,44000
5,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,35000,36000
6,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,38000,21000
7,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,42000,21000
8,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,46000,21000
9,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,50000,22000
10,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,54000,20000
11,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,59000,19000
12,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,64000,20000
13,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,69000,19000
14,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,74000,16000
15,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,80000,18000
16,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,86000,13000
17,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,96000,15000
18,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,108000,13000
19,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,128000,17000
20,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,231000,20000
1,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,16000,15000
2,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,27000,11000
3,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,31000,6000
4,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,33000,10000
5,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,35000,13000
6,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,38000,23000
7,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,42000,20000
8,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,46000,19000
9,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,50000,19000
10,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,54000,23000
11,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,59000,23000
12,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,64000,24000
13,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,68000,22000
14,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,74000,22000
15,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,80000,19000
16,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,87000,19000
17,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,95000,18000
18,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,107000,19000
19,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,127000,19000
20,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,218000,15000
1,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,14000,18000
2,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,27000,12000
3,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,30000,40000
4,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,32000,29000
5,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,35000,23000
6,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,38000,20000
7,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,42000,20000
8,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,45000,20000
9,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,50000,20000
10,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,54000,21000
11,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,59000,20000
12,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,64000,22000
13,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,69000,22000
14,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,74000,27000
15,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,80000,29000
16,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,87000,35000
17,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,95000,33000
18,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,107000,39000
19,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,127000,44000
20,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,212000,52000
1,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,19000,4000
2,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,27000,7000
3,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
4,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,33000,4000
5,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,35000,6000
6,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,38000,9000
7,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,41000,14000
8,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,45000,14000
9,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,50000,15000
10,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,54000,15000
11,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,59000,15000
12,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,64000,12000
13,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,69000,11000
14,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,74000,10000
15,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,80000,10000
16,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,87000,7000
17,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,95000,6000
18,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,107000,4000
19,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,124000,3000
20,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
1,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,15000,13000
2,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,27000,10000
3,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,31000,5000
4,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,32000,9000
5,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,35000,14000
6,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,38000,16000
7,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,42000,16000
8,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,45000,18000
9,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,50000,20000
10,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,54000,19000
11,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,59000,23000
12,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,64000,22000
13,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,69000,27000
14,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,74000,27000
15,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,80000,25000
16,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,87000,26000
17,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,95000,30000
18,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,107000,26000
19,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,127000,19000
20,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,184000,11000
1,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,17000,24000
2,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,27000,28000
3,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,30000,13000
4,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,33000,20000
5,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,35000,29000
6,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,38000,45000
7,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,42000,45000
8,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,45000,43000
9,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,50000,41000
10,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,54000,42000
11,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,59000,41000
12,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,64000,38000
13,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,68000,34000
14,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,74000,33000
15,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,80000,30000
16,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,87000,27000
17,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,95000,24000
18,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,107000,24000
19,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,127000,22000
20,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,222000,20000
1,Income Quantiles,Household,Without children,Equivalised Disposable Income,Equivalised Disposable Income,14000,78000
