Income_Group,Income_Type,Population_Type,Description,Income_Measure,Value_Type,Value,Population
7,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,41000,77000
8,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,45000,79000
9,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,49000,83000
10,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,53000,85000
11,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,58000,86000
12,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,62000,88000
13,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,67000,88000
14,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,72000,90000
15,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,78000,87000
16,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,85000,88000
17,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,93000,90000
18,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,105000,88000
19,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,124000,86000
20,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,207000,80000
1,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,14000,17000
2,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,27000,43000
3,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,29000,71000
4,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,32000,57000
5,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,34000,47000
6,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,38000,38000
7,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,41000,33000
8,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,45000,31000
9,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,49000,29000
10,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,53000,29000
11,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,58000,26000
12,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,62000,23000
13,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,67000,24000
14,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,72000,20000
15,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,78000,23000
16,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,84000,22000
17,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,93000,19000
18,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,105000,21000
19,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,124000,23000
20,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,218000,29000
1,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,17000,5000
2,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,26000,9000
3,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,29000,5000
4,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,32000,7000
5,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,35000,12000
6,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,38000,12000
7,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,41000,12000
8,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,45000,9000
9,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,49000,6000
10,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,53000,4000
11,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
12,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
13,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
14,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
15,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
16,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
17,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
18,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
19,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
20,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
1,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,14000,48000
2,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,27000,54000
3,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,29000,42000
4,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,32000,42000
5,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,34000,31000
6,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,38000,20000
7,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,41000,20000
8,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,45000,20000
9,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,49000,21000
10,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,53000,22000
11,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,58000,18000
12,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,62000,19000
13,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,67000,20000
14,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,72000,17000
15,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,78000,18000
16,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,84000,12000
17,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,93000,14000
18,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,105000,14000
19,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,125000,17000
20,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,223000,21000
1,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,16000,14000
2,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,26000,10000
3,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,29000,6000
4,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,32000,12000
5,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,35000,16000
6,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,38000,23000
7,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,41000,21000
8,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,45000,22000
9,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,49000,20000
10,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,53000,22000
11,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,58000,23000
12,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,62000,25000
13,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,67000,20000
14,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,72000,21000
15,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,78000,19000
16,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,85000,19000
17,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,93000,17000
18,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,104000,18000
19,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,124000,18000
20,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,215000,14000
1,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,13000,17000
2,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,26000,11000
3,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,29000,38000
4,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,32000,24000
5,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,34000,20000
6,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,38000,19000
7,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,41000,19000
8,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,45000,18000
9,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,49000,20000
10,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,53000,20000
11,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,58000,22000
12,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,62000,21000
13,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,67000,22000
14,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,72000,26000
15,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,78000,28000
