Income_Group,Income_Type,Population_Type,Description,Income_Measure,Value_Type,Value,Population
12,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,65000,35000
13,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,70000,31000
14,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,75000,29000
15,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,82000,28000
16,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,89000,26000
17,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,97000,23000
18,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,109000,22000
19,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,129000,20000
20,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,221000,17000
1,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,16000,33000
2,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,28000,28000
3,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,31000,13000
4,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,33000,19000
5,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,36000,31000
6,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,39000,44000
7,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,42000,43000
8,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,46000,48000
9,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,51000,49000
10,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,55000,47000
11,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,60000,53000
12,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,65000,49000
13,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,70000,53000
14,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,76000,52000
15,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,82000,47000
16,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,89000,48000
17,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,97000,53000
18,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,109000,41000
19,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,129000,38000
20,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,205000,24000
1,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,15000,32000
2,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,28000,28000
3,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,31000,11000
4,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,33000,17000
5,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,36000,27000
6,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,39000,33000
7,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,42000,38000
8,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,46000,38000
9,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,51000,41000
10,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,55000,42000
11,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,60000,45000
12,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,65000,44000
13,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,70000,42000
14,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,76000,46000
15,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,82000,42000
16,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,89000,43000
17,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,97000,43000
18,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,110000,44000
19,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,130000,41000
20,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,209000,37000
1,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,15000,48000
2,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,28000,31000
3,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,31000,11000
4,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,33000,13000
5,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,35000,17000
6,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,39000,21000
7,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,42000,25000
8,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,46000,26000
9,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,51000,33000
10,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,55000,34000
11,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,60000,33000
12,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,65000,37000
13,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,70000,35000
14,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,76000,38000
15,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,82000,37000
16,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,88000,36000
17,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,97000,36000
18,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,109000,39000
19,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,130000,39000
20,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,222000,49000
1,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,15000,92000
2,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,28000,67000
3,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,31000,27000
4,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,33000,39000
5,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,36000,56000
6,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,39000,71000
7,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,42000,78000
8,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,46000,80000
9,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,51000,86000
10,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,55000,88000
11,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,60000,90000
12,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,65000,90000
13,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,70000,90000
14,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,76000,93000
15,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,82000,90000
16,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,89000,90000
17,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,97000,93000
18,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,109000,93000
19,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,130000,89000
20,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,215000,85000
1,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,15000,20000
2,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,29000,44000
3,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,31000,79000
4,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,33000,69000
5,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,35000,56000
6,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,39000,42000
7,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,42000,37000
8,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,46000,35000
9,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,51000,30000
10,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,55000,30000
11,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,60000,27000
12,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,65000,25000
13,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,70000,26000
14,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,75000,20000
15,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,82000,24000
16,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,88000,23000
17,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,97000,19000
18,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,109000,22000
19,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,130000,22000
20,Income Quantiles,Household,Aged 65+,Equivalised Disposable Income,Equivalised Disposable Income,228000,27000
1,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,17000,5000
2,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,28000,9000
3,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,31000,4000
4,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,33000,6000
5,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,36000,10000
6,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,39000,11000
7,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,42000,12000
8,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,46000,10000
9,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,51000,7000
10,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,55000,4000
11,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
12,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
13,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
14,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
15,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
16,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
17,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
18,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
19,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
20,Income Quantiles,Household,Single with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
1,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,14000,47000
2,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,29000,55000
3,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,31000,46000
4,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,33000,45000
5,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,35000,37000
6,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,39000,20000
7,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,42000,21000
8,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,46000,21000
9,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,51000,21000
10,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,55000,22000
11,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,60000,18000
12,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,65000,21000
13,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,70000,19000
14,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,75000,16000
15,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,82000,19000
16,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,88000,13000
17,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,98000,14000
18,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,110000,13000
19,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,131000,17000
20,Income Quantiles,Household,Single without children,Equivalised Disposable Income,Equivalised Disposable Income,236000,20000
1,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,16000,14000
2,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,28000,11000
3,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,31000,5000
4,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,33000,10000
5,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,36000,13000
6,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,39000,23000
7,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,42000,21000
8,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,46000,20000
9,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,51000,21000
10,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,55000,21000
11,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,60000,24000
12,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,65000,24000
13,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,70000,21000
14,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,75000,22000
15,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,82000,20000
16,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,89000,20000
17,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,97000,18000
18,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,109000,19000
19,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,130000,19000
20,Income Quantiles,Household,Couple with children,Equivalised Disposable Income,Equivalised Disposable Income,221000,16000
1,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,14000,20000
2,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,28000,13000
3,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,31000,41000
4,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,33000,30000
5,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,35000,23000
6,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,39000,22000
7,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,42000,21000
8,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,46000,20000
9,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,51000,19000
10,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,55000,22000
11,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,60000,19000
12,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,65000,22000
13,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,70000,23000
14,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,75000,26000
15,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,82000,28000
16,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,88000,36000
17,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,97000,33000
18,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,109000,39000
19,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,130000,44000
20,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,216000,52000
1,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,19000,4000
2,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,28000,7000
3,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
4,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,33000,4000
5,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,35000,7000
6,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,39000,9000
7,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,42000,13000
8,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,46000,14000
9,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,51000,16000
10,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,55000,14000
11,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,60000,16000
12,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,65000,12000
13,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,70000,11000
14,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,75000,10000
15,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,82000,11000
16,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,89000,7000
17,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,98000,6000
18,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,110000,4000
19,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,127000,3000
20,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
1,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,15000,13000
2,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,28000,9000
3,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,31000,5000
4,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,33000,9000
5,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,36000,14000
6,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,39000,17000
7,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,42000,16000
8,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,46000,19000
9,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,51000,19000
10,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,55000,19000
11,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,60000,23000
12,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,65000,22000
13,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,70000,27000
14,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,76000,28000
15,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,82000,25000
16,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,89000,26000
17,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,97000,31000
18,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,109000,26000
19,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,129000,19000
20,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,188000,11000
1,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,17000,23000
2,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,28000,27000
3,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,31000,11000
4,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,33000,19000
5,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,36000,30000
6,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,39000,44000
7,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,42000,46000
8,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,46000,43000
9,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,51000,44000
10,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,55000,40000
11,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,60000,43000
12,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,65000,38000
13,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,70000,34000
14,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,75000,33000
15,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,82000,31000
16,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,89000,28000
17,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,97000,25000
18,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,109000,24000
19,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,129000,22000
20,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,225000,20000
1,Income Quantiles,Household,Without children,Equivalised Disposable Income,Equivalised Disposable Income,14000,80000
